"","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","species","studies","observation","study","yi","vi","backtrans","phylo","species_char","family"
"342",326,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,2,0,0,"Rhinolophus pusillus","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"respiratory swab","China","N","Guangxi","Nanning","NA","NA","2004","","",NA,"","December","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","lung or respiratory","0","0","1","0",NA,NA,"No","No","PCR","betacoronavirus",1,"Rhinolophus pusillus","Rhinolophus pusillus","bats are natural reservoirs of sars-like coronaviruses","35","bats are natural reservoirs of sars-like coronaviruses",0.307739854335194,0.1,0,"Rhinolophus pusillus","Rhinolophus pusillus","RHINOLOPHIDAE"
"358",375,"characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","Wang et al.","Viruses",2019,499,2,0.004008,"Rhinolophus affinis","betacoronavirus","","Sarbecovirus","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faecal swab/faeces","China","N","Guangdong, Guizhou, Hainan, Henan, Jiangsu, Yunnan, Zhejiang","","NA","NA","","2004","November",2014,"November","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:09pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","No","PCR","betacoronavirus",1,"Rhinolophus affinis","Rhinolophus affinis","characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","36","characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats",0.0704125647317656,0.0005005005005005,0.00400801603206413,"Rhinolophus affinis","Rhinolophus affinis","RHINOLOPHIDAE"
"359",377,"characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","Wang et al.","Viruses",2019,238,12,0.05042,"Rhinolophus ferrumequinum","betacoronavirus","","Sarbecovirus","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faecal swab/faeces","China","N","Beijing, Fujian, Gansu, Guizhou, Hebei, Henan, Shandong, Shanxi, Yunnan","","NA","NA","","2004","November",2014,"November","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:09pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","No","PCR","betacoronavirus",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","37","characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats",0.230692198997361,0.0010482180293501,0.0504201680672269,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"360",380,"characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","Wang et al.","Viruses",2019,31,1,0.032258,"Rhinolophus macrotis","betacoronavirus","","Sarbecovirus","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faecal swab/faeces","China","N","Chongqing, Guangdong, Guangxi, Hebei, Hubei, Jiangsu, Beijing, Yunnan","","NA","NA","","2004","November",2014,"November","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:09pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","No","PCR","betacoronavirus",1,"Rhinolophus macrotis","Rhinolophus macrotis","characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","38","characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats",0.215195427993595,0.00793650793650794,0.0322580645161291,"Rhinolophus macrotis","Rhinolophus macrotis","RHINOLOPHIDAE"
"361",383,"characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","Wang et al.","Viruses",2019,283,2,0.007067,"Rhinolophus pusillus","betacoronavirus","","Sarbecovirus","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faecal swab/faeces","China","N","Fujian, Guangdong, Guangxi, Hebei, Henan, Hubei, Jiangsu, Shandong","","NA","NA","","2004","November",2014,"November","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:09pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","No","PCR","betacoronavirus",1,"Rhinolophus pusillus","Rhinolophus pusillus","characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","39","characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats",0.0934885322628016,0.000881834215167548,0.00706713780918727,"Rhinolophus pusillus","Rhinolophus pusillus","RHINOLOPHIDAE"
"362",385,"characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","Wang et al.","Viruses",2019,740,72,0.097297,"Rhinolophus sinicus","betacoronavirus","","Sarbecovirus","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faecal swab/faeces","China","N","Fujian, Guangdong, Guangxi, Guizhou, Hainan, Hubei, Hunan, Jiangsu, Sichuan, Yunnan, Zhejiang","","NA","NA","","2004","November",2014,"November","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:09pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","No","PCR","betacoronavirus",1,"Rhinolophus sinicus","Rhinolophus sinicus","characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","40","characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats",0.318132600963481,0.000337609723160027,0.0972972972972972,"Rhinolophus sinicus","Rhinolophus sinicus","RHINOLOPHIDAE"
"377",431,"circulation of group 2 coronaviruses in a bat species common to urban areas in western europe","Reusken et al.","Vector Borne Zoonotic Dis",2010,8,1,0.125,"Pipistrellus pipistrellus","betacoronavirus","","","bat","","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Netherlands","N","","Noordwijkerhout, 's Gravenland, Doetinchem–De Huet, Doetinchem–Wijnbergen","NA","NA","2008","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:09pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"No","No","PCR","betacoronavirus",1,"Pipistrellus pipistrellus","Pipistrellus pipistrellus","circulation of group 2 coronaviruses in a bat species common to urban areas in western europe","41","circulation of group 2 coronaviruses in a bat species common to urban areas in western europe",0.415359793871717,0.0294117647058824,0.125,"Pipistrellus pipistrellus","Pipistrellus pipistrellus","VESPERTILIONIDAE"
"379",432,"close relative of human middle east respiratory syndrome coronavirus in bat, south africa","Ithete et al.","Emerg Infect Dis",2013,1,1,1,"Neoromicia cf. zuluensis","betacoronavirus","","","bat","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","South Africa","S","","?","NA","NA","2011","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:09pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"No","No","PCR","betacoronavirus",1,"Neoromicia zuluensis","Neoromicia zuluensis","close relative of human middle east respiratory syndrome coronavirus in bat, south africa","42","close relative of human middle east respiratory syndrome coronavirus in bat, south africa",1.17809724509617,0.166666666666667,1,"Neoromicia zuluensis","Neoromicia zuluensis","VESPERTILIONIDAE"
"383",448,"coexistence of multiple coronaviruses in several bat colonies in an abandoned mineshaft","Ge et al.","Virol Sin",2016,106,1,0.009434,"Rhinolophus affinis","betacoronavirus","","Sarbecovirus","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","China","N","Yunnan","mineshaft in Mojing County","NA","NA","","2012","August",2013,"July","","Summer,Fall,Spring",NA,"","","","","VERENA Admin","4/12/2022 2:09pm","faecal, rectal, or anal","1","1","0","1",NA,NA,"No","No","PCR","betacoronavirus",1,"Rhinolophus affinis","Rhinolophus affinis","coexistence of multiple coronaviruses in several bat colonies in an abandoned mineshaft","43","coexistence of multiple coronaviruses in several bat colonies in an abandoned mineshaft",0.116985793090434,0.00234741784037559,0.00943396226415094,"Rhinolophus affinis","Rhinolophus affinis","RHINOLOPHIDAE"
"394",496,"complete genome sequence of bat coronavirus hku2 from chinese horseshoe bats revealed a much smaller spike gene with a different evolutionary lineage from the rest of the genome","Lau et al.","Virology",2007,348,29,0.083333,"Rhinolophus sinicus","betacoronavirus","","Sarbecovirus","bat","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"alimentary specimen","China","N","Hong Kong","","NA","NA","","2004","April",2006,"April","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:09pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"Yes, for this study","Yes","PCR","betacoronavirus",1,"Rhinolophus sinicus","Rhinolophus sinicus","complete genome sequence of bat coronavirus hku2 from chinese horseshoe bats revealed a much smaller spike gene with a different evolutionary lineage from the rest of the genome","44","complete genome sequence of bat coronavirus hku2 from chinese horseshoe bats revealed a much smaller spike gene with a different evolutionary lineage from the rest of the genome",0.294985709768452,0.000717360114777618,0.0833333333333333,"Rhinolophus sinicus","Rhinolophus sinicus","RHINOLOPHIDAE"
"396",497,"complete genome sequence of bat coronavirus hku2 from chinese horseshoe bats revealed a much smaller spike gene with a different evolutionary lineage from the rest of the genome","Lau et al.","Virology",2007,64,1,0.015625,"Rhinolophus sinicus","betacoronavirus","","Sarbecovirus","bat","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"alimentary specimen","China","N","Guangdong","","NA","NA","","2004","April",2006,"April","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:09pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"Yes, for this study","Yes","PCR","betacoronavirus",1,"Rhinolophus sinicus","Rhinolophus sinicus","complete genome sequence of bat coronavirus hku2 from chinese horseshoe bats revealed a much smaller spike gene with a different evolutionary lineage from the rest of the genome","45","complete genome sequence of bat coronavirus hku2 from chinese horseshoe bats revealed a much smaller spike gene with a different evolutionary lineage from the rest of the genome",0.150339416681257,0.00387596899224806,0.015625,"Rhinolophus sinicus","Rhinolophus sinicus","RHINOLOPHIDAE"
"421",513,"coronavirus and paramyxovirus in bats from northwest italy","Rizzo et al.","Bmc Vet Res",2017,14,1,0.071429,"Plecotus auritus","betacoronavirus","","","","Paur4241_IT_16","single","cross-sectional","RNA","end point PCR","single","RdRp",NA,"faeces","Italy","N","Cuneo","Garessio","NA","NA","2016","","",NA,"","September","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:09pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","No","PCR","betacoronavirus",1,"Plecotus auritus","Plecotus auritus","coronavirus and paramyxovirus in bats from northwest italy","46","coronavirus and paramyxovirus in bats from northwest italy",0.317474792868767,0.0172413793103448,0.0714285714285714,"Plecotus auritus","Plecotus auritus","VESPERTILIONIDAE"
"429",534,"coronavirus and paramyxovirus in bats from northwest italy","Rizzo et al.","Bmc Vet Res",2017,38,3,0.078947,"Rhinolophus ferrumequinum","betacoronavirus","","","","Rfer4019_IT_16 (1), Rfer4027_IT_16 (1), Rfer4075_IT_16 (1)","single","cross-sectional","RNA","end point PCR","single","RdRp",NA,"faeces","Italy","N","?","?","NA","NA","2016","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/25/2022 8:51pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"No","No","PCR","betacoronavirus",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","coronavirus and paramyxovirus in bats from northwest italy","47","coronavirus and paramyxovirus in bats from northwest italy",0.303517467028232,0.00649350649350649,0.0789473684210527,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"430",538,"coronavirus and paramyxovirus in bats from northwest italy","Rizzo et al.","Bmc Vet Res",2017,38,1,0.026316,"Rhinolophus ferrumequinum","betacoronavirus","","","","Rfer4074_IT_16","single","cross-sectional","RNA","end point PCR","single","RdRp",NA,"faeces","Italy","N","Alessandria","Vignale Monferrato","NA","NA","2016","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:10pm","faecal, rectal, or anal","1","0","0","0",NA,NA,"No","No","PCR","betacoronavirus",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","coronavirus and paramyxovirus in bats from northwest italy","48","coronavirus and paramyxovirus in bats from northwest italy",0.194628741220398,0.00649350649350649,0.0263157894736842,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"474",584,"coronaviruses in bent-winged bats (miniopterus spp.)","Chu et al.","J Gen Virol",2006,44,1,0.022727,"Miniopterus magnater","betacoronavirus","","Sarbecovirus","bat","","pooled","cross-sectional","RNA","RT-PCR,hemi-nested PCR","multiple","RdRp",NA,"faecal and/or throat sample","China","N","Hong Kong","abandoned mine cave ","NA","NA","","2005","",NA,"","August","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples","1","0","0","0",NA,NA,"No","No","PCR","betacoronavirus",1,"Miniopterus magnater","Miniopterus magnater","coronaviruses in bent-winged bats (miniopterus spp.)","49","coronaviruses in bent-winged bats (miniopterus spp.)",0.181020561549481,0.00561797752808989,0.0227272727272727,"Miniopterus magnater","Miniopterus magnater","VESPERTILIONIDAE"
"483",604,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,28,1,0.035714,"Artibeus literatus","betacoronavirus","","","","Mex_CoV-11a","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Campeche","Reserva de la Biosfera Calakmul -""Disturbed"" - transition forest to agriculture","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples",NA,NA,NA,NA,NA,NA,"No","No","PCR","betacoronavirus",1,"Artibeus lituratus","Artibeus lituratus","coronaviruses in bats from mexico","50","coronaviruses in bats from mexico",0.22625429002551,0.0087719298245614,0.0357142857142857,"Artibeus lituratus","Artibeus lituratus","PHYLLOSTOMIDAE"
"486",607,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,21,1,0.047619,"Artibeus phaeotis","betacoronavirus","","","","Mex_CoV-11b ","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Campeche","Reserva de la Biosfera Calakmul -Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples",NA,NA,NA,NA,NA,NA,"No","No","PCR","betacoronavirus",1,"Dermanura phaeotis","Dermanura phaeotis","coronaviruses in bats from mexico","51","coronaviruses in bats from mexico",0.260563601122691,0.0116279069767442,0.0476190476190476,"Dermanura phaeotis","Dermanura phaeotis","PHYLLOSTOMIDAE"
"488",609,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,3,2,0.666667,"Artibeus phaeotis","betacoronavirus","","","","Mex_CoV-11a, Mex_CoV-11b","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Chiapas","Reserva de la Biosfera Montes Azules - Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples",NA,NA,NA,NA,NA,NA,"No","No","PCR","betacoronavirus",1,"Dermanura phaeotis","Dermanura phaeotis","coronaviruses in bats from mexico","52","coronaviruses in bats from mexico",0.916297857297023,0.0714285714285714,0.666666666666667,"Dermanura phaeotis","Dermanura phaeotis","PHYLLOSTOMIDAE"
"545",666,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,1,1,1,"Pteronotus parnellii","betacoronavirus","","","","Mex_CoV-10","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Campeche","Reserva de la Biosfera Calakmul -Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples",NA,NA,NA,NA,NA,NA,"No","No","PCR","betacoronavirus",1,"Pteronotus parnellii","Pteronotus parnellii","coronaviruses in bats from mexico","53","coronaviruses in bats from mexico",1.17809724509617,0.166666666666667,1,"Pteronotus parnellii","Pteronotus parnellii","MORMOOPIDAE"
"550",671,"coronaviruses in bats from mexico","Anthony et al.","J Gen Virol",2013,5,1,0.2,"Nyctinomops laticaudatus","betacoronavirus","","","","Mex_CoV-9","pooled","cross-sectional","TNA","PCR","single","RdRp",NA,"rectal/oral swab,serum","Mexico","N","Campeche","Reserva de la Biosfera Calakmul -Undisturbed forest","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:11pm","pooled swabs/samples",NA,NA,NA,NA,NA,NA,"No","No","PCR","betacoronavirus",1,"Nyctinomops laticaudatus","Nyctinomops laticaudatus","coronaviruses in bats from mexico","54","coronaviruses in bats from mexico",0.518007021977176,0.0454545454545455,0.2,"Nyctinomops laticaudatus","Nyctinomops laticaudatus","MOLOSSIDAE"
