title,author,journal,year,doi,ID,study,source,exclude_title,exclude_reason,include,entered
"bat-borne virus diversity, spillover and emergence",Letko et al.,Nat Rev Microbiol,2020,10.1038/s41579-020-0394-z,132,Letko et al. 2020 Nat Rev Microbiol,PubMed,Y,batcov review,,
bat-origin coronaviruses expand their host range to pigs,Wang et al.,Trends Microbiol,2018,10.1016/j.tim.2018.03.001,133,Wang et al. 2018 Trends Microbiol,PubMed,Y,batcov review,,
"bat-to-human: spike features determining 'host jump' of coronaviruses sars-cov, mers-cov, and beyond",Lu et al.,Trends Microbiol,2015,10.1016/j.tim.2015.06.003,134,Lu et al. 2015 Trends Microbiol,PubMed,Y,batcov review,,
bats and bat-borne diseases: a perspective on australian megabats,Ng & Baker,Australian Journal of Zoology,2013,10.1071/ZO12126,135,Ng & Baker 2013 Australian Journal of Zoology,CAB,Y,general review,,
bats and coronaviruses,Banerjee et al.,Viruses,2019,10.3390/v11010041,136,Banerjee et al. 2019 Viruses,PubMed,Y,batcov review,,
bats and covid-19: villains or victims?,Ramos pereira et al.,Biota Neotropica,2020,10.1590/1676-0611-BN-2020-1055,137,Ramos pereira et al. 2020 Biota Neotropica,WOS,Y,batcov review,,
bats and emerging zoonoses: henipaviruses and sars,Field,Zoonoses and Public Health,2009,10.1111/j.1863-2378.2008.01218.x,138,Field 2009 Zoonoses and Public Health,WOS,Y,batcov review,,
"bats and human health: ebola, sars, rabies and beyond",Beltz,,2017,,139,Beltz 2017 ,CAB,Y,batcov review,,
bats and humans,Sönnerborg,Lakartidningen,2020,,140,Sönnerborg 2020 Lakartidningen,PubMed,Y,general review,,
bats and their virome: an important source of emerging viruses capable of infecting humans,Smith & Wang,Curr Opin Virol,2013,10.1016/j.coviro.2012.11.006,141,Smith & Wang 2013 Curr Opin Virol,PubMed,Y,general review,,
bats and viruses: complex relationships,Rodhain,Bull Soc Pathol Exot,2015,10.1007/s13149-015-0448-z,142,Rodhain 2015 Bull Soc Pathol Exot,PubMed,Y,general review,,
bats and viruses: what relationships? what consequences?,Rodhain,Bulletin de l'Académie Nationale de Médecine,2014,,143,Rodhain 2014 Bulletin de l'Académie Nationale de Médecine,CAB,Y,general review,,
bats are a major natural reservoir for hepaciviruses and pegiviruses,Quan et al.,Proceedings of The National Academy of Sciences of The United States of America,2013,10.1073/pnas.1303037110,144,Quan et al. 2013 Proceedings of The National Academy of Sciences of The United States of America,WOS,Y,no cov,,
bats are an untapped system for understanding microbiome evolution in mammals,Ingala et al.,Msphere,2018,10.1128/mSphere.00397-18,145,Ingala et al. 2018 Msphere,WOS,Y,not batcov,,
bats are natural reservoirs of sars-like coronaviruses,Li et al.,Science,2005,10.1126/science.1118391,146,Li et al. 2005 Science,PubMed,N,,Y,
bats as a continuing source of emerging infections in humans,Wong et al.,Rev Med Virol,2007,10.1002/rmv.520,147,Wong et al. 2007 Rev Med Virol,PubMed,Y,general review,,
bats as a reservoir of viruses dangerous to humans and animals,Smreczak & Zmudzin´ski,Medycyna Weterynaryjna,2016,,148,Smreczak & Zmudzin´ski 2016 Medycyna Weterynaryjna,CAB,Y,general review,,
bats as animal reservoirs for the sars coronavirus: hypothesis proved after 10 years of virus hunting,Wang & Hu,Virol Sin,2013,10.1007/s12250-013-3402-x,149,Wang & Hu 2013 Virol Sin,PubMed,Y,batcov review,,
bats as reservoir and vector of viruses pathogenic for humans and animals,Glin´ski & Cioek,Zycie Weterynaryjne,2020,,150,Glin´ski & Cioek 2020 Zycie Weterynaryjne,CAB,Y,general review,,
bats as reservoirs of severe emerging infectious diseases,Han et al.,Virus Res,2015,10.1016/j.virusres.2015.05.006,151,Han et al. 2015 Virus Res,PubMed,Y,general review,,
bats don't cause or spread covid-19,Chelmala Srinivasulu & Sanjay Molur,Zoos' Print,2020,,152,Chelmala Srinivasulu & Sanjay Molur 2020 Zoos' Print,CAB,Y,batcov review,,
"bats, civets and the emergence of sars",Wang & Eaton,"Wildlife and Emerging Zoonotic Diseases: The Biology, Circumstances and Consequences of Cross-species Transmission",2007,,153,"Wang & Eaton 2007 Wildlife and Emerging Zoonotic Diseases: The Biology, Circumstances and Consequences of Cross-species Transmission",WOS,Y,batcov review,,
"bats, viruses and humans: coronaviruses on the rise?",Winter & Herrler,Berl Munch Tierarztl Wochenschr,2013,,154,Winter & Herrler 2013 Berl Munch Tierarztl Wochenschr,PubMed,Y,batcov review,,
bats: carriers of zoonotic viral and emerging infectious diseases,Koushlesh Ranjan et al.,Journal of Experimental Biology and Agricultural Sciences,2016,,155,Koushlesh Ranjan et al. 2016 Journal of Experimental Biology and Agricultural Sciences,CAB,Y,batcov review,,
bed bugs (hemiptera: cimicidae),Russell et al.,,2013,,156,Russell et al. 2013 ,CAB,Y,not batcov,,
binding and dissociation kinetics of wild-type and mutant streptavidins on mixed biotin-containing alkylthiolate monolayers,Jung et al.,Langmuir,2000,10.1021/la000144r,157,Jung et al. 2000 Langmuir,WOS,Y,not batcov,,
biodiversity and its conservation in the sundarban mangrove ecosystem,Gopal & Chauhan,Aquatic Sciences,2006,10.1007/s00027-006-0868-8,158,Gopal & Chauhan 2006 Aquatic Sciences,WOS,Y,not batcov,,
biodiversity conservation and armed conflict: a warfare ecology perspective,Hanson,Annals of The New York Academy of Sciences,2018,10.1111/nyas.13689,159,Hanson 2018 Annals of The New York Academy of Sciences,WOS,Y,not batcov,,
bioinformatic analysis indicates that sars-cov-2 is unrelated to known artificial coronaviruses,Dallavilla et al.,Eur Rev Med Pharmacol Sci,2020,10.26355/eurrev_202004_21041,160,Dallavilla et al. 2020 Eur Rev Med Pharmacol Sci,PubMed,Y,no bat,,
bioinformatics research on the sars coronavirus (sars_cov) in china,Hao et al.,Current Pharmaceutical Design,2006,10.2174/138161206779010404,161,Hao et al. 2006 Current Pharmaceutical Design,WOS,Y,molecular,,
biologists seek to head off future sources of infection,Abbott & Cyranoski,Nature,2003,10.1038/423003b,162,Abbott & Cyranoski 2003 Nature,PubMed,Y,general review,,
biotechnological conversion of methane to methanol: evaluation of progress and potential,Bjorck et al.,Aims Bioengineering,2018,10.3934/bioeng.2018.1.1,163,Bjorck et al. 2018 Aims Bioengineering,WOS,Y,not batcov,,
block of sodium channels by divalent mercury: role of specific cysteinyl residues in the p-loop region,Hisatome et al.,Biophysical Journal,2000,10.1016/S0006-3495(00)76386-7,164,Hisatome et al. 2000 Biophysical Journal,WOS,Y,not batcov,,
bluetongue disease in germany (2007-2008): monitoring of entomological aspects,Mehlhorn et al.,Parasitology Research,2009,10.1007/s00436-009-1416-y,165,Mehlhorn et al. 2009 Parasitology Research,CAB,Y,not batcov,,
breeding habitat preferences of 15 bird species on south-western finnish archipelago coast: applicability of digital spatial data archives to habitat assessment,Ronka et al.,Biological Conservation,2008,10.1016/j.biocon.2007.10.010,166,Ronka et al. 2008 Biological Conservation,WOS,Y,not batcov,,
broad and differential animal angiotensin-converting enzyme 2 receptor usage by sars-cov-2,Zhao et al.,J Virol,2020,10.1128/JVI.00940-20,167,Zhao et al. 2020 J Virol,PubMed,Y,molecular,,
broad cross-species infection of cultured cells by bat hku2-related swine acute diarrhea syndrome coronavirus and identification of its replication in murine dendritic cells in vivo highlight its potential for diverse interspecies transmission,Yang et al.,J Virol,2019,10.1128/JVI.01448-19,168,Yang et al. 2019 J Virol,PubMed,Y,molecular,,
broad host range of sars-cov-2 predicted by comparative and structural analysis of ace2 in vertebrates,Damas et al.,Proc Natl Acad Sci U S a,2020,10.1073/pnas.2010146117,169,Damas et al. 2020 Proc Natl Acad Sci U S a,PubMed,Y,molecular,,
broad-spectrum antiviral gs-5734 inhibits both epidemic and zoonotic coronaviruses,Sheahan et al.,Sci Transl Med,2017,10.1126/scitranslmed.aal3653,170,Sheahan et al. 2017 Sci Transl Med,PubMed,Y,pharma,,
broad-spectrum coronavirus antiviral drug discovery,Totura & Bavari,Expert Opin Drug Discov,2019,10.1080/17460441.2019.1581171,171,Totura & Bavari 2019 Expert Opin Drug Discov,PubMed,Y,pharma,,
ca2+ ions promote fusion of middle east respiratory syndrome coronavirus with host cells and increase infectivity,Straus et al.,Journal of Virology,2020,10.1128/JVI.00426-20,172,Straus et al. 2020 Journal of Virology,WOS,Y,molecular,,
"cameroonian fruit bats harbor divergent viruses, including rotavirus h, bastroviruses, and picobirnaviruses using an alternative genetic code",Yinda et al.,Virus Evolution,2018,10.1093/ve/vey008,173,Yinda et al. 2018 Virus Evolution,WOS,N,,Y,
can bats serve as reservoirs for arboviruses?,Fagre & Kading,Viruses-basel,2019,10.3390/v11030215,174,Fagre & Kading 2019 Viruses-basel,WOS,Y,general review,,
can melatonin reduce the severity of covid-19 pandemic?,Shneider et al.,Int Rev Immunol,2020,10.1080/08830185.2020.1756284,175,Shneider et al. 2020 Int Rev Immunol,PubMed,Y,not batcov,,
"candidate new rotavirus species in schreiber's bats, serbia",Bányai et al.,Infect Genet Evol,2017,10.1016/j.meegid.2016.12.002,176,Bányai et al. 2017 Infect Genet Evol,PubMed,N,,Y,
canine respiratory coronavirus: a naturally occurring model of covid-19?,Priestnall,Vet Pathol,2020,10.1177/0300985820926485,177,Priestnall 2020 Vet Pathol,PubMed,Y,not batcov,,
canopy cover shapes bat diversity across an urban and agricultural landscape mosaic,Bailey et al.,Environmental Conservation,2019,10.1017/S0376892919000109,178,Bailey et al. 2019 Environmental Conservation,WOS,Y,no virus,,
carbon nanosheet frameworks derived from peat moss as high performance sodium ion battery anodes,Ding et al.,Acs Nano,2013,10.1021/nn404640c,179,Ding et al. 2013 Acs Nano,WOS,Y,not batcov,,
cd26/dpp4 cell-surface expression in bat cells correlates with bat cell susceptibility to middle east respiratory syndrome coronavirus (mers-cov) infection and evolution of persistent infection,Caì et al.,Plos One,2014,10.1371/journal.pone.0112060,180,Caì et al. 2014 Plos One,PubMed,Y,molecular,,
"centipedes (scolopendromorpha: scolopendridae, scolopocryptopidae and cryptopidae)",Russell et al.,,2013,,181,Russell et al. 2013 ,CAB,Y,not batcov,,
characterisation of animal angiotensin-converting enzyme 2 receptors and use of pseudotyped virus to correlate receptor binding with susceptibility of sars-cov infection,Li et al.,Hong Kong Med J,2012,,182,Li et al. 2012 Hong Kong Med J,PubMed,Y,molecular,,
characteristics of fringed myotis day roosts in northern california,Weller & Zabel,Journal of Wildlife Management,2001,10.2307/3803102,183,Weller & Zabel 2001 Journal of Wildlife Management,WOS,Y,no cov,,
characterization and pathogenicity of a novel mammalian orthoreovirus from wild short-nosed fruit bats,Li et al.,Infection Genetics and Evolution,2016,10.1016/j.meegid.2016.05.039,184,Li et al. 2016 Infection Genetics and Evolution,WOS,Y,no cov,,
"characterization and phylogenetic analysis of new bat astroviruses detected in gabon, central africa",Rougeron et al.,Acta Virol,2016,10.4149/av_2016_04_386,185,Rougeron et al. 2016 Acta Virol,PubMed,Y,no cov,,
characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats,Wang et al.,Viruses,2019,10.3390/v11040379,186,Wang et al. 2019 Viruses,PubMed,N,,Y,
characterization of a novel bat-hku2-like swine enteric alphacoronavirus (seacov) infection in cultured cells and development of a seacov infectious clone,Yang et al.,Virology,2019,10.1016/j.virol.2019.08.006,187,Yang et al. 2019 Virology,PubMed,Y,molecular,,
characterization of a novel betacoronavirus related to middle east respiratory syndrome coronavirus in european hedgehogs,Corman et al.,J Virol,2014,10.1128/JVI.01600-13,188,Corman et al. 2014 J Virol,PubMed,Y,not batcov,,
characterization of a novel species of adenovirus from japanese microbat and role of cxadr as its entry factor,Kobayashi et al.,Scientific Reports,2019,10.1038/s41598-018-37224-z,189,Kobayashi et al. 2019 Scientific Reports,WOS,Y,no cov,,
characterization of accessory genes in coronavirus genomes,Michel et al.,Virol J,2020,10.1186/s12985-020-01402-1,190,Michel et al. 2020 Virol J,PubMed,Y,no bat,,
"characterization of teviot virus, an australian bat-borne paramyxovirus",Johnson et al.,J Gen Virol,2019,10.1099/jgv.0.001214,191,Johnson et al. 2019 J Gen Virol,PubMed,Y,no cov,,
characterization of the antigen processing machinery and endogenous peptide presentation of a bat mhc class i molecule,Wynne et al.,J Immunol,2016,10.4049/jimmunol.1502062,192,Wynne et al. 2016 J Immunol,PubMed,Y,no cov,,
characterization of the receptor-binding domain (rbd) of 2019 novel coronavirus: implication for development of rbd protein as a viral attachment inhibitor and vaccine,Tai et al.,Cell Mol Immunol,2020,10.1038/s41423-020-0400-4,193,Tai et al. 2020 Cell Mol Immunol,PubMed,Y,molecular,,
characterization of uncultivable bat influenza virus using a replicative synthetic virus,Zhou et al.,Plos Pathogens,2014,10.1371/journal.ppat.1004420,194,Zhou et al. 2014 Plos Pathogens,WOS,Y,not batcov,,
chimeric exchange of coronavirus nsp5 proteases (3clpro) identifies common and divergent regulatory determinants of protease activity,Stobart et al.,Journal of Virology,2013,10.1128/JVI.02050-13,195,Stobart et al. 2013 Journal of Virology,WOS,Y,not batcov,,
chiroptera and zoonosis: an emerging problem on all five continents,Hance et al.,Med Trop (mars),2006,,196,Hance et al. 2006 Med Trop (mars),PubMed,Y,general review,,
chiropteran types i and ii interferon genes inferred from genome sequencing traces by a statistical gene-family assembler,Kepler et al.,Bmc Genomics,2010,10.1186/1471-2164-11-444,197,Kepler et al. 2010 Bmc Genomics,WOS,Y,no cov,,
"circulation of alphacoronavirus, betacoronavirus and paramyxovirus in hipposideros bat species in zimbabwe",Bourgarel et al.,Infection Genetics and Evolution,2018,10.1016/j.meegid.2018.01.007,198,Bourgarel et al. 2018 Infection Genetics and Evolution,WOS,N,,Y,
circulation of group 2 coronaviruses in a bat species common to urban areas in western europe,Reusken et al.,Vector Borne Zoonotic Dis,2010,10.1089/vbz.2009.0173,199,Reusken et al. 2010 Vector Borne Zoonotic Dis,PubMed,N,,Y,
clashing greeks and victorian culture wars: euripides vs. aristophanes in late-victorian discourse,Prasch,Victorian Studies,2012,10.2979/victorianstudies.54.3.464,200,Prasch 2012 Victorian Studies,WOS,Y,not batcov,,
"clinical features, pathogenesis and immunobiology of severe acute respiratory syndrome",Hui & Chan,Current Opinion In Pulmonary Medicine,2008,10.1097/MCP.0b013e3282fb81b2,201,Hui & Chan 2008 Current Opinion In Pulmonary Medicine,WOS,Y,general review,,
close genetic relatedness of picornaviruses from european and asian bats,Lukashev et al.,J Gen Virol,2017,10.1099/jgv.0.000760,202,Lukashev et al. 2017 J Gen Virol,PubMed,N,,Y,
"close relative of human middle east respiratory syndrome coronavirus in bat, south africa",Ithete et al.,,2013,10.3201/eid1910.130946,203,Ithete et al. 2013 ,CAB,N,,Y,
coding potential and sequence conservation of sars-cov-2 and related animal viruses,Cagliani et al.,Infect Genet Evol,2020,10.1016/j.meegid.2020.104353,204,Cagliani et al. 2020 Infect Genet Evol,PubMed,Y,molecular,,
"codon usage bias studies and cluster analysis on emerging bat sars-related coronaviruses in yunnan province, china",Tian MingMing et al.,Chinese Journal of Zoonoses,2018,,205,Tian MingMing et al. 2018 Chinese Journal of Zoonoses,CAB,Y,molecular,,
coexistence of different genotypes in the same bat and serological characterization of rousettus bat coronavirus hku9 belonging to a novel betacoronavirus subgroup,Lau et al.,J Virol,2010,10.1128/JVI.01121-10,206,Lau et al. 2010 J Virol,PubMed,N,,Y,
coexistence of multiple coronaviruses in several bat colonies in an abandoned mineshaft,Ge et al.,Virol Sin,2016,10.1007/s12250-016-3713-9,207,Ge et al. 2016 Virol Sin,PubMed,N,,Y,
