"","title","author","journal","year","doi","ID","study","source","exclude_title","exclude_reason","include","entered"
"2:183","bat sars-like wiv1 coronavirus uses the ace2 of multiple animal species as receptor and evades ifitm3 restriction via tmprss2 activation of membrane fusion","Zheng et al.","Emerg Microbes Infect",2020,"10.1080/22221751.2020.1787797",129,"Zheng et al. 2020 Emerg Microbes Infect","PubMed","","","",""
"2:77","bat severe acute respiratory syndrome-like coronavirus orf3b homologues display different interferon antagonist activities","Zhou et al.","J Gen Virol",2012,"10.1099/vir.0.033589-0",130,"Zhou et al. 2012 J Gen Virol","PubMed","","","",""
"2:145","bat severe acute respiratory syndrome-like coronavirus wiv1 encodes an extra accessory protein, orfx, involved in modulation of the host immune response","Zeng et al.","J Virol",2016,"10.1128/JVI.03079-15",131,"Zeng et al. 2016 J Virol","PubMed","","","",""
"2:144","bat-borne virus diversity, spillover and emergence","Letko et al.","Nat Rev Microbiol",2020,"10.1038/s41579-020-0394-z",132,"Letko et al. 2020 Nat Rev Microbiol","PubMed","","","",""
"2:206","bat-origin coronaviruses expand their host range to pigs","Wang et al.","Trends Microbiol",2018,"10.1016/j.tim.2018.03.001",133,"Wang et al. 2018 Trends Microbiol","PubMed","","","",""
"2:3","bat-to-human: spike features determining 'host jump' of coronaviruses sars-cov, mers-cov, and beyond","Lu et al.","Trends Microbiol",2015,"10.1016/j.tim.2015.06.003",134,"Lu et al. 2015 Trends Microbiol","PubMed","","","",""
"3:168","bats and bat-borne diseases: a perspective on australian megabats","Ng & Baker","Australian Journal of Zoology",2013,"10.1071/ZO12126",135,"Ng & Baker 2013 Australian Journal of Zoology","CAB","","","",""
"2:65","bats and coronaviruses","Banerjee et al.","Viruses",2019,"10.3390/v11010041",136,"Banerjee et al. 2019 Viruses","PubMed","","","",""
"1:377","bats and covid-19: villains or victims?","Ramos pereira et al.","Biota Neotropica",2020,"10.1590/1676-0611-BN-2020-1055",137,"Ramos pereira et al. 2020 Biota Neotropica","WOS","","","",""
"1:70","bats and emerging zoonoses: henipaviruses and sars","Field","Zoonoses and Public Health",2009,"10.1111/j.1863-2378.2008.01218.x",138,"Field 2009 Zoonoses and Public Health","WOS","","","",""
"3:95","bats and human health: ebola, sars, rabies and beyond","Beltz","",2017,"",139,"Beltz 2017 ","CAB","","","",""
"2:376","bats and humans","Sönnerborg","Lakartidningen",2020,"",140,"Sönnerborg 2020 Lakartidningen","PubMed","","","",""
"2:234","bats and their virome: an important source of emerging viruses capable of infecting humans","Smith & Wang","Curr Opin Virol",2013,"10.1016/j.coviro.2012.11.006",141,"Smith & Wang 2013 Curr Opin Virol","PubMed","","","",""
"2:111","bats and viruses: complex relationships","Rodhain","Bull Soc Pathol Exot",2015,"10.1007/s13149-015-0448-z",142,"Rodhain 2015 Bull Soc Pathol Exot","PubMed","","","",""
"3:198","bats and viruses: what relationships? what consequences?","Rodhain","Bulletin de l'Académie Nationale de Médecine",2014,"",143,"Rodhain 2014 Bulletin de l'Académie Nationale de Médecine","CAB","","","",""
"1:17","bats are a major natural reservoir for hepaciviruses and pegiviruses","Quan et al.","Proceedings of The National Academy of Sciences of The United States of America",2013,"10.1073/pnas.1303037110",144,"Quan et al. 2013 Proceedings of The National Academy of Sciences of The United States of America","WOS","","","",""
"1:343","bats are an untapped system for understanding microbiome evolution in mammals","Ingala et al.","Msphere",2018,"10.1128/mSphere.00397-18",145,"Ingala et al. 2018 Msphere","WOS","","","",""
"2:134","bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,"10.1126/science.1118391",146,"Li et al. 2005 Science","PubMed","","","",""
"2:328","bats as a continuing source of emerging infections in humans","Wong et al.","Rev Med Virol",2007,"10.1002/rmv.520",147,"Wong et al. 2007 Rev Med Virol","PubMed","","","",""
"3:148","bats as a reservoir of viruses dangerous to humans and animals","Smreczak & Zmudzin´ski","Medycyna Weterynaryjna",2016,"",148,"Smreczak & Zmudzin´ski 2016 Medycyna Weterynaryjna","CAB","","","",""
"2:428","bats as animal reservoirs for the sars coronavirus: hypothesis proved after 10 years of virus hunting","Wang & Hu","Virol Sin",2013,"10.1007/s12250-013-3402-x",149,"Wang & Hu 2013 Virol Sin","PubMed","","","",""
"3:20","bats as reservoir and vector of viruses pathogenic for humans and animals","Glin´ski & Cioek","Zycie Weterynaryjne",2020,"",150,"Glin´ski & Cioek 2020 Zycie Weterynaryjne","CAB","","","",""
"2:116","bats as reservoirs of severe emerging infectious diseases","Han et al.","Virus Res",2015,"10.1016/j.virusres.2015.05.006",151,"Han et al. 2015 Virus Res","PubMed","","","",""
"3:3","bats don't cause or spread covid-19","Chelmala Srinivasulu & Sanjay Molur","Zoos' Print",2020,"",152,"Chelmala Srinivasulu & Sanjay Molur 2020 Zoos' Print","CAB","","","",""
"1:35","bats, civets and the emergence of sars","Wang & Eaton","Wildlife and Emerging Zoonotic Diseases: The Biology, Circumstances and Consequences of Cross-species Transmission",2007,"",153,"Wang & Eaton 2007 Wildlife and Emerging Zoonotic Diseases: The Biology, Circumstances and Consequences of Cross-species Transmission","WOS","","","",""
"2:444","bats, viruses and humans: coronaviruses on the rise?","Winter & Herrler","Berl Munch Tierarztl Wochenschr",2013,"",154,"Winter & Herrler 2013 Berl Munch Tierarztl Wochenschr","PubMed","","","",""
"3:83","bats: carriers of zoonotic viral and emerging infectious diseases","Koushlesh Ranjan et al.","Journal of Experimental Biology and Agricultural Sciences",2016,"",155,"Koushlesh Ranjan et al. 2016 Journal of Experimental Biology and Agricultural Sciences","CAB","","","",""
"3:282","bed bugs (hemiptera: cimicidae)","Russell et al.","",2013,"",156,"Russell et al. 2013 ","CAB","","","",""
"1:11","binding and dissociation kinetics of wild-type and mutant streptavidins on mixed biotin-containing alkylthiolate monolayers","Jung et al.","Langmuir",2000,"10.1021/la000144r",157,"Jung et al. 2000 Langmuir","WOS","","","",""
"1:15","biodiversity and its conservation in the sundarban mangrove ecosystem","Gopal & Chauhan","Aquatic Sciences",2006,"10.1007/s00027-006-0868-8",158,"Gopal & Chauhan 2006 Aquatic Sciences","WOS","","","",""
"1:192","biodiversity conservation and armed conflict: a warfare ecology perspective","Hanson","Annals of The New York Academy of Sciences",2018,"10.1111/nyas.13689",159,"Hanson 2018 Annals of The New York Academy of Sciences","WOS","","","",""
"2:293","bioinformatic analysis indicates that sars-cov-2 is unrelated to known artificial coronaviruses","Dallavilla et al.","Eur Rev Med Pharmacol Sci",2020,"10.26355/eurrev_202004_21041",160,"Dallavilla et al. 2020 Eur Rev Med Pharmacol Sci","PubMed","","","",""
"1:291","bioinformatics research on the sars coronavirus (sars_cov) in china","Hao et al.","Current Pharmaceutical Design",2006,"10.2174/138161206779010404",161,"Hao et al. 2006 Current Pharmaceutical Design","WOS","","","",""
"2:471","biologists seek to head off future sources of infection","Abbott & Cyranoski","Nature",2003,"10.1038/423003b",162,"Abbott & Cyranoski 2003 Nature","PubMed","","","",""
"1:194","biotechnological conversion of methane to methanol: evaluation of progress and potential","Bjorck et al.","Aims Bioengineering",2018,"10.3934/bioeng.2018.1.1",163,"Bjorck et al. 2018 Aims Bioengineering","WOS","","","",""
"1:131","block of sodium channels by divalent mercury: role of specific cysteinyl residues in the p-loop region","Hisatome et al.","Biophysical Journal",2000,"10.1016/S0006-3495(00)76386-7",164,"Hisatome et al. 2000 Biophysical Journal","WOS","","","",""
"3:357","bluetongue disease in germany (2007-2008): monitoring of entomological aspects","Mehlhorn et al.","Parasitology Research",2009,"10.1007/s00436-009-1416-y",165,"Mehlhorn et al. 2009 Parasitology Research","CAB","","","",""
"1:175","breeding habitat preferences of 15 bird species on south-western finnish archipelago coast: applicability of digital spatial data archives to habitat assessment","Ronka et al.","Biological Conservation",2008,"10.1016/j.biocon.2007.10.010",166,"Ronka et al. 2008 Biological Conservation","WOS","","","",""
"2:237","broad and differential animal angiotensin-converting enzyme 2 receptor usage by sars-cov-2","Zhao et al.","J Virol",2020,"10.1128/JVI.00940-20",167,"Zhao et al. 2020 J Virol","PubMed","","","",""
"2:41","broad cross-species infection of cultured cells by bat hku2-related swine acute diarrhea syndrome coronavirus and identification of its replication in murine dendritic cells in vivo highlight its potential for diverse interspecies transmission","Yang et al.","J Virol",2019,"10.1128/JVI.01448-19",168,"Yang et al. 2019 J Virol","PubMed","","","",""
"2:219","broad host range of sars-cov-2 predicted by comparative and structural analysis of ace2 in vertebrates","Damas et al.","Proc Natl Acad Sci U S a",2020,"10.1073/pnas.2010146117",169,"Damas et al. 2020 Proc Natl Acad Sci U S a","PubMed","","","",""
"2:16","broad-spectrum antiviral gs-5734 inhibits both epidemic and zoonotic coronaviruses","Sheahan et al.","Sci Transl Med",2017,"10.1126/scitranslmed.aal3653",170,"Sheahan et al. 2017 Sci Transl Med","PubMed","","","",""
"2:6","broad-spectrum coronavirus antiviral drug discovery","Totura & Bavari","Expert Opin Drug Discov",2019,"10.1080/17460441.2019.1581171",171,"Totura & Bavari 2019 Expert Opin Drug Discov","PubMed","","","",""
"1:258","ca2+ ions promote fusion of middle east respiratory syndrome coronavirus with host cells and increase infectivity","Straus et al.","Journal of Virology",2020,"10.1128/JVI.00426-20",172,"Straus et al. 2020 Journal of Virology","WOS","","","",""
"1:141","cameroonian fruit bats harbor divergent viruses, including rotavirus h, bastroviruses, and picobirnaviruses using an alternative genetic code","Yinda et al.","Virus Evolution",2018,"10.1093/ve/vey008",173,"Yinda et al. 2018 Virus Evolution","WOS","","","",""
"1:296","can bats serve as reservoirs for arboviruses?","Fagre & Kading","Viruses-basel",2019,"10.3390/v11030215",174,"Fagre & Kading 2019 Viruses-basel","WOS","","","",""
"2:195","can melatonin reduce the severity of covid-19 pandemic?","Shneider et al.","Int Rev Immunol",2020,"10.1080/08830185.2020.1756284",175,"Shneider et al. 2020 Int Rev Immunol","PubMed","","","",""
"2:456","candidate new rotavirus species in schreiber's bats, serbia","Bányai et al.","Infect Genet Evol",2017,"10.1016/j.meegid.2016.12.002",176,"Bányai et al. 2017 Infect Genet Evol","PubMed","","","",""
"2:306","canine respiratory coronavirus: a naturally occurring model of covid-19?","Priestnall","Vet Pathol",2020,"10.1177/0300985820926485",177,"Priestnall 2020 Vet Pathol","PubMed","","","",""
"1:387","canopy cover shapes bat diversity across an urban and agricultural landscape mosaic","Bailey et al.","Environmental Conservation",2019,"10.1017/S0376892919000109",178,"Bailey et al. 2019 Environmental Conservation","WOS","","","",""
"1:2","carbon nanosheet frameworks derived from peat moss as high performance sodium ion battery anodes","Ding et al.","Acs Nano",2013,"10.1021/nn404640c",179,"Ding et al. 2013 Acs Nano","WOS","","","",""
"2:185","cd26/dpp4 cell-surface expression in bat cells correlates with bat cell susceptibility to middle east respiratory syndrome coronavirus (mers-cov) infection and evolution of persistent infection","Caì et al.","Plos One",2014,"10.1371/journal.pone.0112060",180,"Caì et al. 2014 Plos One","PubMed","","","",""
"3:296","centipedes (scolopendromorpha: scolopendridae, scolopocryptopidae and cryptopidae)","Russell et al.","",2013,"",181,"Russell et al. 2013 ","CAB","","","",""
"2:323","characterisation of animal angiotensin-converting enzyme 2 receptors and use of pseudotyped virus to correlate receptor binding with susceptibility of sars-cov infection","Li et al.","Hong Kong Med J",2012,"",182,"Li et al. 2012 Hong Kong Med J","PubMed","","","",""
"1:81","characteristics of fringed myotis day roosts in northern california","Weller & Zabel","Journal of Wildlife Management",2001,"10.2307/3803102",183,"Weller & Zabel 2001 Journal of Wildlife Management","WOS","","","",""
"1:205","characterization and pathogenicity of a novel mammalian orthoreovirus from wild short-nosed fruit bats","Li et al.","Infection Genetics and Evolution",2016,"10.1016/j.meegid.2016.05.039",184,"Li et al. 2016 Infection Genetics and Evolution","WOS","","","",""
"2:247","characterization and phylogenetic analysis of new bat astroviruses detected in gabon, central africa","Rougeron et al.","Acta Virol",2016,"10.4149/av_2016_04_386",185,"Rougeron et al. 2016 Acta Virol","PubMed","","","",""
"2:151","characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","Wang et al.","Viruses",2019,"10.3390/v11040379",186,"Wang et al. 2019 Viruses","PubMed","","","",""
"2:184","characterization of a novel bat-hku2-like swine enteric alphacoronavirus (seacov) infection in cultured cells and development of a seacov infectious clone","Yang et al.","Virology",2019,"10.1016/j.virol.2019.08.006",187,"Yang et al. 2019 Virology","PubMed","","","",""
"2:359","characterization of a novel betacoronavirus related to middle east respiratory syndrome coronavirus in european hedgehogs","Corman et al.","J Virol",2014,"10.1128/JVI.01600-13",188,"Corman et al. 2014 J Virol","PubMed","","","",""
"1:297","characterization of a novel species of adenovirus from japanese microbat and role of cxadr as its entry factor","Kobayashi et al.","Scientific Reports",2019,"10.1038/s41598-018-37224-z",189,"Kobayashi et al. 2019 Scientific Reports","WOS","","","",""
"2:276","characterization of accessory genes in coronavirus genomes","Michel et al.","Virol J",2020,"10.1186/s12985-020-01402-1",190,"Michel et al. 2020 Virol J","PubMed","","","",""
"2:412","characterization of teviot virus, an australian bat-borne paramyxovirus","Johnson et al.","J Gen Virol",2019,"10.1099/jgv.0.001214",191,"Johnson et al. 2019 J Gen Virol","PubMed","","","",""
"2:304","characterization of the antigen processing machinery and endogenous peptide presentation of a bat mhc class i molecule","Wynne et al.","J Immunol",2016,"10.4049/jimmunol.1502062",192,"Wynne et al. 2016 J Immunol","PubMed","","","",""
